#T/J	kxy
1.2900000e+00 -3.2696714e-03
1.2800000e+00 -3.4443960e-03
1.2700000e+00 -3.6177378e-03
1.2600000e+00 -3.7909224e-03
1.2500000e+00 -3.9650991e-03
1.2400000e+00 -4.1409124e-03
1.2300000e+00 -4.3191607e-03
1.2200000e+00 -4.5004724e-03
1.2100000e+00 -4.6856726e-03
1.2000000e+00 -4.8751394e-03
1.1900000e+00 -5.0693129e-03
1.1800000e+00 -5.2690388e-03
1.1700000e+00 -5.4746449e-03
1.1600000e+00 -5.6867971e-03
1.1500000e+00 -5.9059323e-03
1.1400000e+00 -6.1326706e-03
1.1300000e+00 -6.3676840e-03
1.1200000e+00 -6.6112411e-03
1.1100000e+00 -6.8642954e-03
1.1000000e+00 -7.1274084e-03
1.0900000e+00 -7.4011257e-03
1.0800000e+00 -7.6862963e-03
1.0700000e+00 -7.9834756e-03
1.0600000e+00 -8.2937513e-03
1.0500000e+00 -8.6175431e-03
1.0400000e+00 -8.9559966e-03
1.0300000e+00 -9.3098935e-03
1.0200000e+00 -9.6801753e-03
1.0100000e+00 -1.0068090e-02
1.0000000e+00 -1.0474301e-02
9.9000000e-01 -1.0900228e-02
9.8000000e-01 -1.1346991e-02
9.7000000e-01 -1.1815814e-02
9.6000000e-01 -1.2308023e-02
9.5000000e-01 -1.2824939e-02
9.4000000e-01 -1.3368084e-02
9.3000000e-01 -1.3938788e-02
9.2000000e-01 -1.4538633e-02
9.1000000e-01 -1.5169293e-02
9.0000000e-01 -1.5831949e-02
8.9000000e-01 -1.6528641e-02
8.8000000e-01 -1.7260432e-02
8.7000000e-01 -1.8028795e-02
8.6000000e-01 -1.8835151e-02
8.5000000e-01 -1.9680285e-02
8.4000000e-01 -2.0564876e-02
8.3000000e-01 -2.1489368e-02
8.2000000e-01 -2.2453189e-02
8.1000000e-01 -2.3455847e-02
8.0000000e-01 -2.4494967e-02
7.9000000e-01 -2.5568033e-02
7.8000000e-01 -2.6670991e-02
7.7000000e-01 -2.7798695e-02
7.6000000e-01 -2.8944168e-02
7.5000000e-01 -3.0099469e-02
7.4000000e-01 -3.1254969e-02
7.3000000e-01 -3.2399888e-02
7.2000000e-01 -3.3522473e-02
7.1000000e-01 -3.4609877e-02
7.0000000e-01 -3.5649553e-02
6.9000000e-01 -3.6628212e-02
6.8000000e-01 -3.7533814e-02
6.7000000e-01 -3.8354557e-02
6.6000000e-01 -3.9080800e-02
6.5000000e-01 -3.9703236e-02
6.4000000e-01 -4.0215000e-02
6.3000000e-01 -4.0610664e-02
6.2000000e-01 -4.0886185e-02
6.1000000e-01 -4.1039403e-02
6.0000000e-01 -4.1069070e-02
5.9000000e-01 -4.0976183e-02
5.8000000e-01 -4.0761590e-02
5.7000000e-01 -4.0428160e-02
5.6000000e-01 -3.9978795e-02
5.5000000e-01 -3.9417725e-02
5.4000000e-01 -3.8749495e-02
5.3000000e-01 -3.7978631e-02
5.2000000e-01 -3.7111049e-02
5.1000000e-01 -3.6152060e-02
5.0000000e-01 -3.5107710e-02
4.9000000e-01 -3.3984844e-02
4.8000000e-01 -3.2789649e-02
4.7000000e-01 -3.1529424e-02
4.6000000e-01 -3.0211329e-02
4.5000000e-01 -2.8842598e-02
4.4000000e-01 -2.7431817e-02
4.3000000e-01 -2.5986187e-02
4.2000000e-01 -2.4514203e-02
4.1000000e-01 -2.3024518e-02
4.0000000e-01 -2.1525071e-02
3.9000000e-01 -2.0025307e-02
3.8000000e-01 -1.8533791e-02
3.7000000e-01 -1.7059672e-02
3.6000000e-01 -1.5611021e-02
3.5000000e-01 -1.4197485e-02
3.4000000e-01 -1.2826668e-02
3.3000000e-01 -1.1507237e-02
3.2000000e-01 -1.0247179e-02
3.1000000e-01 -9.0531985e-03
3.0000000e-01 -7.9316345e-03
2.9000000e-01 -6.8874659e-03
2.8000000e-01 -5.9257078e-03
2.7000000e-01 -5.0482922e-03
2.6000000e-01 -4.2588654e-03
2.5000000e-01 -3.5548638e-03
2.4000000e-01 -2.9373592e-03
2.3000000e-01 -2.4013827e-03
2.2000000e-01 -1.9763371e-03
2.1000000e-01 -1.6048699e-03
2.0000000e-01 -1.2846215e-03
